Triangular_16_120,NoWL,boscia,1,Time limit reached,300.8,0,120,true,false,
Triangular_16_120,1WL,boscia_wl,1,Time limit reached,300.6171115,0,120,true,false,
Triangular_16_120,2WL,boscia_wl2,1,Time limit reached,300.5086693,0,120,true,false,
cfi-20,NoWL,boscia,1,Time limit reached,300.555,0,200,true,false,
cfi-20,1WL,boscia_wl,1,Time limit reached,300.7056839,0,200,true,false,
cfi-20,2WL,boscia_wl2,1,Time limit reached,300.2486594,39440,200,true,false,
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.3205072,39600,0,false,true,wl
cfi-20,2WL_noniso,boscia_wl2,1,Unknown,34.6378529,40000,0,false,true,wl
cfi-40,NoWL,boscia,1,Time limit reached,308.007,0,400,true,false,
cfi-40,1WL,boscia_wl,1,Time limit reached,308.8034222,0,400,true,false,
cfi-40,2WL,boscia_wl2,1,Time limit reached,334.970548,158880,400,true,false,
iso_r01N_s20,NoWL,boscia,1,User defined stop,0.593,0,20,true,false,
iso_r01N_s20,1WL,boscia_wl,1,User defined stop,0.0121741,380,20,true,false,
iso_r01N_s20,2WL,boscia_wl2,1,User defined stop,0.025701500000000002,380,20,true,false,
iso_r01N_s20,1WL_noniso,boscia_wl,1,Optimal (tree empty),0.0074589,380,20,false,false,
iso_r01N_s20,2WL_noniso,boscia_wl2,1,Optimal (tree empty),0.0270847,380,20,false,false,
iso_r01N_s40,NoWL,boscia,1,User defined stop,6.232,0,40,true,false,
iso_r01N_s40,1WL,boscia_wl,1,User defined stop,0.027761499999999998,1560,40,true,false,
iso_r01N_s40,2WL,boscia_wl2,1,User defined stop,0.17307419999999998,1560,40,true,false,
iso_r01N_s60,NoWL,boscia,1,User defined stop,23.756,0,60,true,false,
iso_r01N_s60,1WL,boscia_wl,1,User defined stop,0.0676428,3540,60,true,false,
iso_r01N_s60,2WL,boscia_wl2,1,User defined stop,0.6443546,3540,60,true,false,
iso_r01N_s80,NoWL,boscia,1,User defined stop,56.436,0,80,true,false,
iso_r01N_s80,1WL,boscia_wl,1,User defined stop,0.1503474,6320,80,true,false,
iso_r01N_s80,2WL,boscia_wl2,1,User defined stop,0.9477212,6320,80,true,false,
iso_r01N_s80,1WL_noniso,boscia_wl,1,Optimal (tree empty),0.1255571,6320,80,false,false,
iso_r01N_s80,2WL_noniso,boscia_wl2,1,Optimal (tree empty),0.9608845,6320,80,false,false,
exact_001,NoWL,boscia,1,User defined stop,1.377,0,19,true,false,
exact_001,1WL,boscia_wl,1,User defined stop,0.0332254,324,19,true,false,
exact_001,2WL,boscia_wl2,1,User defined stop,0.062370300000000004,324,19,true,false,
exact_001,1WL_noniso,boscia_wl,1,Unknown,0.0007608,342,0,false,true,wl
exact_001,2WL_noniso,boscia_wl2,1,Unknown,0.0351215,359,0,false,true,wl
exact_024,NoWL,boscia,1,User defined stop,3.636,0,40,true,false,
exact_024,1WL,boscia_wl,1,User defined stop,0.0162721,1550,40,true,false,
exact_024,2WL,boscia_wl2,1,User defined stop,0.1044216,1550,40,true,false,
exact_051,NoWL,boscia,1,User defined stop,15.522,0,62,true,false,
exact_051,1WL,boscia_wl,1,User defined stop,0.0573079,3724,62,true,false,
exact_051,2WL,boscia_wl2,1,User defined stop,0.4405446,3724,62,true,false,
sts_19_57,NoWL,boscia,1,Time limit reached,300.099,0,57,true,false,
sts_19_57,1WL,boscia_wl,1,Time limit reached,300.0828376,0,57,true,false,
sts_19_57,2WL,boscia_wl2,1,Time limit reached,300.2123223,0,57,true,false,
sts_25_100,NoWL,boscia,1,Time limit reached,300.37,0,100,true,false,
sts_25_100,1WL,boscia_wl,1,Time limit reached,300.4724943,0,100,true,false,
sts_25_100,2WL,boscia_wl2,1,Time limit reached,300.020232,0,100,true,false,
usr_1_29_1,NoWL,boscia,1,Time limit reached,300.003,0,29,true,false,
usr_1_29_1,1WL,boscia_wl,1,Time limit reached,300.012398,0,29,true,false,
usr_1_29_1,2WL,boscia_wl2,1,Time limit reached,300.0162944,0,29,true,false,
usr_2_58_1,NoWL,boscia,1,Time limit reached,300.114,0,58,true,false,
usr_2_58_1,1WL,boscia_wl,1,Time limit reached,300.0826405,0,58,true,false,
usr_2_58_1,2WL,boscia_wl2,1,Time limit reached,300.35708850000003,0,58,true,false,
iso_r01N_s100,NoWL,boscia,1,User defined stop,104.012,0,100,true,false,
iso_r01N_s100,1WL,boscia_wl,1,User defined stop,0.2663176,9900,100,true,false,
iso_r01N_s100,2WL,boscia_wl2,1,User defined stop,10.1118679,9900,100,true,false,
latin_22_484,NoWL,boscia,1,Time limit reached,336.737,0,484,true,false,
latin_22_484,1WL,boscia_wl,1,Time limit reached,339.9497107,0,484,true,false,
latin_22_484,2WL,boscia_wl2,1,Time limit reached,340.0176569,0,484,true,false,
Lattice_20_400,NoWL,boscia,1,Time limit reached,322.147,0,400,true,false,
Lattice_20_400,1WL,boscia_wl,1,Time limit reached,321.4615855,0,400,true,false,
Lattice_20_400,2WL,boscia_wl2,1,Time limit reached,324.7410561,0,400,true,false,
Triangular_29_406,NoWL,boscia,1,Time limit reached,325.64,0,406,true,false,
Triangular_29_406,1WL,boscia_wl,1,Time limit reached,325.4280935,0,406,true,false,
Triangular_29_406,2WL,boscia_wl2,1,Time limit reached,324.7472375,0,406,true,false,
